Order_ID,Order_Date,Month,Days,Customer_Name,Customer_Type,Customer_Segment,City,Payment_Method,SKU,Product_Name,Category,Qty,Price,Discount,Subtotal,Tax,Delivery_Fee,Surge_Fee,Delivery_Slot,Delivery_Status,Delivery_Time,Sales
O0001,08-02-2025,2,8,Cust_0,Bulk,Bakery,Mumbai,Wallet,SKU0,Product_0,Veg,2,94.25,9.43,179.07,8.95,0,10,10-20 min,Delivered,12.0,198.02
O0002,21-02-2025,2,21,Cust_1,Bulk,Bakery,Mumbai,UPI,SKU1,Product_1,Essentials,1,18.45,1.84,16.61,0.83,0,0,20-30 min,Cancelled,24.6,17.44
O0003,29-01-2025,1,29,Cust_2,Bulk,Café,Delhi,UPI,SKU2,Product_2,Fruits,6,59.27,2.96,352.66,17.63,0,0,10-20 min,Delivered,8.0,370.29
O0004,15-01-2025,1,15,Cust_3,Bulk,Bakery,Bangalore,UPI,SKU3,Product_3,Frozen,2,168.45,25.27,311.63,15.58,0,10,10-20 min,Delivered,21.0,337.21
O0005,12-02-2025,2,12,Cust_4,Bulk,Bakery,Bangalore,UPI,SKU4,Product_4,Snacks,6,52.47,7.87,306.95,15.35,0,0,10-20 min,Delivered,23.0,322.3
O0006,08-01-2025,1,8,Cust_5,Bulk,Café,Delhi,NetBanking,SKU5,Product_5,Other,5,78.11,3.91,386.64,19.33,30,15,20-30 min,Delivered,18.0,450.97
O0007,21-01-2025,1,21,Cust_6,Bulk,Bakery,Bangalore,UPI,SKU6,Product_6,Bakery,1,103.87,5.19,98.68,4.93,20,0,30-45 min,Delivered,13.0,123.61
O0008,08-02-2025,2,8,Cust_7,Bulk,Bakery,Delhi,COD,SKU7,Product_7,Frozen,3,129.5,12.95,375.55,18.78,20,10,20-30 min,Delivered,16.0,424.33
O0009,27-02-2025,2,27,Cust_8,Bulk,Office,Mumbai,UPI,SKU8,Product_8,Snacks,1,131.89,0.0,131.89,6.59,10,0,10-20 min,Delivered,23.0,148.48
O0010,19-01-2025,1,19,Cust_9,Bulk,Cloud Kitchen,Delhi,UPI,SKU9,Product_9,Dairy,1,207.92,20.79,187.13,9.36,30,0,10-20 min,Delivered,17.0,226.49
O0011,23-01-2025,1,23,Cust_10,New,Household,Delhi,Wallet,SKU10,Product_10,Dairy,3,134.09,13.41,388.86,19.44,20,0,20-30 min,Failed,24.6,428.3
O0012,11-01-2025,1,11,Cust_11,Bulk,Cloud Kitchen,Delhi,UPI,SKU11,Product_11,Fruits ,6,86.17,0.0,517.02,25.85,10,5,10-20 min,Delivered,10.0,557.87
O0013,11-01-2025,1,11,Cust_12,Bulk,Cloud Kitchen,Mumbai,UPI,SKU12,Product_12,Frozen,3,104.71,5.24,308.89,15.44,10,20,10-20 min,Delivered,16.0,354.33
O0014,24-01-2025,1,24,Cust_13,Bulk,Office,Mumbai,Card,SKU13,Product_13,Baby,4,204.9,20.49,799.11,39.96,0,0,10-20 min,Cancelled,24.6,839.07
O0015,22-02-2025,2,22,Cust_14,Returning,Household,Mumbai,UPI,SKU14,Product_14,Bakery,3,193.33,0.0,579.99,29.0,30,20,20-30 min,Delivered,3.0,658.99
O0016,05-02-2025,2,5,Cust_15,Bulk,Tea Stall,Bangalore,Wallet,SKU15,Product_15,Fruits,3,35.35,3.54,102.51,5.13,30,0,30-45 min,Delivered,25.0,137.64
O0017,09-02-2025,2,9,Cust_16,Bulk,Tea Stall,Delhi,COD,SKU16,Product_16,Snacks,2,128.59,6.43,250.75,12.54,0,5,10-20 min,Delivered,34.0,268.29
O0018,24-01-2025,1,24,Cust_17,Bulk,Tea Stall,Mumbai,UPI,SKU17,Product_17,Baby,5,145.22,7.26,718.84,35.94,20,5,10-20 min,Returned,24.6,779.78
O0019,03-01-2025,1,3,Cust_18,Bulk,Bakery,Bangalore,PhonePe,SKU18,Product_18,Essentials,1,156.96,23.54,133.42,6.67,10,5,10-20 min,Delivered,18.0,155.09
O0020,22-01-2025,1,22,Cust_19,Bulk,Office,Bangalore,UPI,SKU19,Product_19,Essentials,2,19.81,0.0,39.62,1.98,20,20,10-20 min,Delivered,42.0,81.6
O0021,22-02-2025,2,22,Cust_20,Bulk,Café,Mumbai,UPI,SKU20,Product_20,Beverages,3,164.88,16.49,478.15,23.91,30,10,10-20 min,Failed,24.6,542.06
O0022,02-01-2025,1,2,Cust_21,Bulk,Bakery,Bangalore,UPI,SKU21,Product_21,Beverages,2,185.31,27.8,342.82,17.14,10,0,20-30 min,Delivered,32.0,369.96
O0023,24-01-2025,1,24,Cust_22,Bulk,Café,Delhi,NetBanking,SKU22,Product_22,Veg,1,4.92,0.25,4.67,0.23,10,15,20-30 min,Delivered,41.0,29.9
O0024,13-02-2025,2,13,Cust_23,Bulk,Bakery,Bangalore,UPI,SKU23,Product_23,Fruits ,1,143.95,7.2,136.75,6.84,30,5,10-20 min,Delivered,27.0,178.59
O0025,30-01-2025,1,30,Cust_24,New,Household,Bangalore,GPay,SKU24,Product_24,Beverages,3,99.86,14.98,284.6,14.23,20,5,10-20 min,Delivered,38.0,323.83
O0026,07-02-2025,2,7,Cust_25,Bulk,Office,Delhi,UPI,SKU25,Product_25,Baby,3,17.39,0.0,52.17,2.61,0,10,10-20 min,Delivered,11.0,64.78
O0027,02-01-2025,1,2,Cust_26,Bulk,Tea Stall,Mumbai,UPI,SKU26,Product_26,Beverages,2,42.69,0.0,85.38,4.27,10,15,10-20 min,Delivered,26.0,114.65
O0028,01-03-2025,3,1,Cust_27,Bulk,Bakery,Mumbai,UPI,SKU27,Product_27,Essentials,3,61.3,0.0,183.9,9.19,30,15,10-20 min,Delivered,45.0,238.09
O0029,21-01-2025,1,21,Cust_28,Bulk,Office,Bangalore,UPI,SKU28,Product_28,Fruits ,4,86.32,4.32,340.96,17.05,0,0,10-20 min,Delivered,28.0,358.01
O0030,02-02-2025,2,2,Cust_29,Bulk,Tea Stall,Delhi,PhonePe,SKU29,Product_29,Fruits,1,65.42,6.54,58.88,2.94,0,5,10-20 min,Delivered,41.0,66.82
O0031,12-01-2025,1,12,Cust_30,Returning,Household,Bangalore,COD,SKU30,Product_30,Veg,6,9.55,1.43,55.87,2.79,20,10,10-20 min,Delivered,12.0,88.66
O0032,27-02-2025,2,27,Cust_31,Bulk,Cloud Kitchen,Bangalore,PhonePe,SKU31,Product_31,Dairy,2,131.91,13.19,250.63,12.53,0,15,10-20 min,Delivered,22.0,278.16
O0033,22-01-2025,1,22,Cust_32,Bulk,Tea Stall,Bangalore,Wallet,SKU32,Product_32,Beverages,5,164.88,16.49,807.91,40.4,20,20,20-30 min,Failed,24.6,888.31
O0035,25-01-2025,1,25,Cust_34,Bulk,Bakery,Mumbai,UPI,SKU34,Product_34,Veg,4,28.85,4.33,111.07,5.55,30,0,10-20 min,Returned,24.6,146.62
O0036,18-02-2025,2,18,Cust_35,New,Household,Bangalore,COD,SKU35,Product_35,Snacks,2,257.91,25.79,490.03,24.5,0,15,30-45 min,Failed,24.6,529.53
O0037,27-01-2025,1,27,Cust_36,Bulk,Cloud Kitchen,Bangalore,UPI,SKU36,Product_36,Other,1,13.17,1.98,11.19,0.56,0,0,10-20 min,Cancelled,24.6,11.75
O0038,28-02-2025,2,28,Cust_37,Bulk,Office,Delhi,Card,SKU37,Product_37,Fruits ,1,258.17,38.73,219.44,10.97,10,15,10-20 min,Delivered,29.0,255.41
O0039,11-02-2025,2,11,Cust_38,Bulk,Office,Bangalore,UPI,SKU38,Product_38,Dairy,4,101.53,10.15,395.97,19.8,30,15,20-30 min,Delivered,18.0,460.77
O0040,28-01-2025,1,28,Cust_39,Bulk,Bakery,Delhi,Wallet,SKU39,Product_39,Dairy,4,180.61,27.09,695.35,34.77,30,0,10-20 min,Delivered,26.0,760.12
O0041,01-03-2025,3,1,Cust_40,New,Household,Mumbai,GPay,SKU40,Product_40,Fruits,1,161.5,24.22,137.28,6.86,0,0,10-20 min,Delivered,37.0,144.14
O0042,16-01-2025,1,16,Cust_41,Bulk,Office,Mumbai,UPI,SKU41,Product_41,Fruits ,4,202.08,30.31,778.0100000000001,38.9,20,0,20-30 min,Delivered,24.0,836.9100000000001
O0043,15-01-2025,1,15,Cust_42,Bulk,Bakery,Delhi,UPI,SKU42,Product_42,Frozen,1,103.0,5.15,97.85,4.89,20,20,10-20 min,Delivered,26.0,142.74
O0044,16-02-2025,2,16,Cust_43,New,Household,Delhi,NetBanking,SKU43,Product_43,Snacks,3,87.94,0.0,263.82,13.19,0,15,10-20 min,Cancelled,24.6,292.01
O0045,20-02-2025,2,20,Cust_44,Bulk,Tea Stall,Delhi,PhonePe,SKU44,Product_44,Snacks,1,276.36,0.0,276.36,13.82,30,15,20-30 min,Delivered,29.0,335.18
O0046,13-02-2025,2,13,Cust_45,New,Household,Delhi,UPI,SKU45,Product_45,Fruits ,2,201.41,0.0,402.82,20.14,30,5,10-20 min,Delivered,21.0,457.96
O0047,24-02-2025,2,24,Cust_46,Bulk,Cloud Kitchen,Bangalore,NetBanking,SKU46,Product_46,Beverages,2,173.19,25.98,320.4,16.02,0,15,20-30 min,Delivered,38.0,351.42
O0048,21-02-2025,2,21,Cust_47,Bulk,Tea Stall,Delhi,NetBanking,SKU47,Product_47,Veg,5,93.93,14.09,455.5600000000001,22.78,0,15,10-20 min,Returned,24.6,493.34
O0049,26-02-2025,2,26,Cust_48,Bulk,Tea Stall,Bangalore,PhonePe,SKU48,Product_48,Fruits ,2,4.8,0.0,9.6,0.48,0,5,10-20 min,Delivered,12.0,15.08
O0050,03-01-2025,1,3,Cust_49,Bulk,Cloud Kitchen,Bangalore,UPI,SKU49,Product_49,Frozen,3,203.32,0.0,609.96,30.5,0,20,10-20 min,Delivered,33.0,660.46
O0051,06-02-2025,2,6,Cust_50,Bulk,Bakery,Delhi,UPI,SKU50,Product_50,Beverages,3,106.91,5.35,315.38,15.77,30,10,20-30 min,Delivered,34.0,371.15
O0052,20-02-2025,2,20,Cust_51,Bulk,Café,Delhi,UPI,SKU51,Product_51,Bakery,4,122.82,6.14,485.14,24.26,20,10,20-30 min,Delivered,24.0,539.4
O0053,07-01-2025,1,7,Cust_52,Returning,Household,Bangalore,COD,SKU52,Product_52,Essentials,1,93.27,13.99,79.28,3.96,0,20,30-45 min,Delivered,39.0,103.24
O0054,21-01-2025,1,21,Cust_53,Bulk,Cloud Kitchen,Delhi,UPI,SKU53,Product_53,Bakery,1,167.62,8.38,159.24,7.96,0,0,20-30 min,Delivered,6.0,167.2
O0055,09-01-2025,1,9,Cust_54,Bulk,Café,Mumbai,NetBanking,SKU54,Product_54,Veg,2,59.75,2.99,116.51,5.83,0,0,10-20 min,Failed,24.6,122.34
